100	0.22	0.1	0.43	0.17	0.19	0.09	1.09	0.47	1.31	0.57
115	0.29	0.12	0.56	0.31	0.18	0.05	1.43	0.67	1.72	0.79
129	0.37	0.12	0.93	0.19	0.14	0.04	2.04	0.55	2.41	0.67
139	0.46	0.12	1.46	0.29	0.13	0.02	2.84	0.65	3.3	0.77
147	0.55	0.13	1.99	0.42	0.12	0.02	3.64	0.81	4.19	0.94
152	0.63	0.13	2.47	0.25	0.12	0.02	4.36	0.64	4.99	0.77
158	0.73	0.13	2.98	0.16	0.14	0.03	5.17	0.55	5.9	0.68
166	0.89	0.13	3.43	0.23	0.16	0.02	6.1	0.62	6.99	0.75
175	1.08	0.12	3.79	0.16	0.18	0.02	7.03	0.52	8.11	0.64
200	1.61	0.12	4.03	0.22	0.22	0.01	8.86	0.58	10.47	0.7
228	2.11	0.13	3.62	0.16	0.26	0.01	9.95	0.55	12.06	0.68
250	2.43	0.13	3.2	0.14	0.27	0.02	10.49	0.53	12.92	0.66
299	2.94	0.13	2.57	0.24	0.29	0.02	11.39	0.63	14.33	0.76
366	3.38	0.14	1.8	0.16	0.32	0.03	11.94	0.58	15.32	0.72
500	3.76	0.11	1.08	0.04	0.32	0	12.36	0.37	16.12	0.48
600	3.93	0.11	0.8	0.06	0.32	0	12.59	0.39	16.52	0.5
800	4.12	0.12	0.51	0.05	0.32	0	12.87	0.41	16.99	0.53
1000	4.23	0.12	0.43	0.11	0.32	0	13.12	0.47	17.35	0.59
